 | Origin Time (GMT)     | Status    |cnt |Mag  |TypeMag |cnt | Lat     | Lon      | Depth  | Remarks
 | 2018-04-29 15:51:32.8 | manual      | 12 | 4.2 | MLv    | 7  | 2.30 N  | 128.85 E | 10 km  | Halmahera, Indonesia                
 | 2018-04-29 15:41:38.2 | manual      | 6  | 4.7 | MLv    | 4  | 3.80 S  | 144.65 E | 123 km | Near N. Coast of New Guinea, PNG.   
 | 2018-04-29 04:46:33.1 | manual      | 11 | 4.4 | MLv    | 10 | 8.29 S  | 124.81 E | 196 km | Timor Region                        
 | 2018-04-29 04:30:53.7 | manual      | 7  | 3.7 | MLv    | 7  | 1.68 S  | 126.66 E | 10 km  | Southern Molucca Sea                
 | 2018-04-29 04:14:49.6 | manual      | 8  | 3.8 | MLv    | 8  | 1.89 S  | 123.09 E | 58 km  | Sulawesi, Indonesia                 
 | 2018-04-29 03:43:40.1 | manual      | 35 | 5.2 | mb     | 33 | 14.96 N | 147.63 E | 112 km | Mariana Islands Region              
 | 2018-04-28 18:13:57.8 | manual      | 8  | 3.4 | MLv    | 8  | 0.02 N  | 128.37 E | 170 km | Halmahera, Indonesia                
 | 2018-04-28 06:59:43.5 | manual      | 6  | 3.6 | MLv    | 6  | 0.67 S  | 124.51 E | 59 km  | Southern Molucca Sea                
 | 2018-04-28 01:49:25.6 | manual      | 11 | 4.5 | mb     | 11 | 5.85 S  | 148.69 E | 380 km | New Britain Region, P.N.G.          
 | 2018-04-27 15:51:25.9 | manual      | 8  | 4.2 | MLv    | 7  | 2.94 S  | 134.94 E | 10 km  | Irian Jaya Region, Indonesia        
 | 2018-04-26 09:54:20.1 | manual      | 25 | 5.8 | mb     | 19 | 7.49 S  | 115.61 E | 348 km | Bali Sea                            
 | 2018-04-26 09:46:10.8 | manual      | 7  | 4.2 | MLv    | 7  | 0.66 S  | 123.39 E | 19 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-26 05:02:09.6 | manual      | 12 | 4.8 | MLv    | 10 | 3.07 N  | 127.89 E | 10 km  | Talaud Islands, Indonesia           
 | 2018-04-26 03:04:02.5 | manual      | 8  | 4.9 | MLv    | 8  | 9.55 S  | 112.58 E | 20 km  | South of Java, Indonesia            
 | 2018-04-25 17:00:17.8 | manual      | 42 | 5.1 | mb     | 35 | 3.75 S  | 129.76 E | 10 km  | Seram, Indonesia                    
 | 2018-04-25 11:00:09.6 | manual      | 6  | 4.0 | MLv    | 5  | 1.94 S  | 124.19 E | 10 km  | Southern Molucca Sea                
 | 2018-04-24 21:56:40.3 | manual      | 32 | 5.1 | mb     | 31 | 24.52 S | 179.07 E | 297 km | South of Fiji Islands               
 | 2018-04-24 20:40:49.6 | manual      | 5  | 4.0 | MLv    | 4  | 2.76 S  | 140.90 E | 3 km   | Near North Coast of Irian Jaya      
 | 2018-04-24 18:16:16.2 | manual      | 6  | 3.0 | MLv    | 6  | 2.16 S  | 129.61 E | 10 km  | Seram, Indonesia                    
 | 2018-04-24 17:40:51.2 | manual      | 8  | 3.8 | MLv    | 8  | 3.45 N  | 125.44 E | 188 km | Talaud Islands, Indonesia           
 | 2018-04-24 16:19:23.5 | manual      | 7  | 3.3 | MLv    | 6  | 0.64 N  | 120.26 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-24 15:51:46.8 | manual      | 18 | 5.0 | mb     | 18 | 38.09 N | 70.40 E  | 153 km | Afghanistan-Tajikistan Border Region
 | 2018-04-24 15:44:55.9 | manual      | 15 | 4.5 | MLv    | 11 | 0.74 N  | 120.09 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-24 14:35:24.2 | manual      | 10 | 4.4 | MLv    | 8  | 5.31 N  | 125.53 E | 168 km | Mindanao, Philippines               
 | 2018-04-24 13:41:24.5 | manual      | 10 | 3.3 | MLv    | 5  | 2.85 S  | 119.55 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-04-24 05:35:38.2 | manual      | 6  | 4.1 | MLv    | 6  | 1.96 S  | 120.31 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-04-24 03:23:40.4 | manual      | 4  | 6.8 | mb     | 4  | 34.37 S | 16.61 E  | 11 km  | Off Coast of South Africa           
 | 2018-04-24 03:05:37.7 | manual      | 28 | 5.1 | mb     | 20 | 8.40 S  | 118.33 E | 166 km | Sumbawa Region, Indonesia           
 | 2018-04-23 23:19:20.5 | manual      | 5  | 4.7 | mb     | 5  | 0.39 S  | 144.97 E | 10 km  | Ninigo Islands Region, P.N.G.       
 | 2018-04-23 21:40:03.2 | manual      | 8  | 4.9 | MLv    | 7  | 1.86 N  | 125.44 E | 10 km  | Northern Molucca Sea                
 | 2018-04-23 16:20:43.6 | manual      | 8  | 3.4 | MLv    | 5  | 0.05 S  | 123.08 E | 154 km | Minahassa Peninsula, Sulawesi       
 | 2018-04-23 14:10:31.9 | manual      | 6  | 3.6 | MLv    | 6  | 0.22 S  | 123.04 E | 81 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-23 10:18:47.7 | manual      | 6  | 3.5 | MLv    | 6  | 0.42 N  | 126.12 E | 14 km  | Northern Molucca Sea                
 | 2018-04-23 08:14:00.3 | manual      | 45 | 5.6 | Mw(mB) | 38 | 1.39 S  | 138.55 E | 43 km  | Near North Coast of Irian Jaya      
 | 2018-04-23 07:37:09.3 | manual      | 27 | 5.5 | mb     | 21 | 6.43 S  | 123.64 E | 663 km | Banda Sea                           
 | 2018-04-23 06:35:45.9 | manual      | 10 | 4.1 | MLv    | 10 | 2.16 S  | 127.90 E | 420 km | Ceram Sea                           
 | 2018-04-23 05:16:31.6 | manual      | 5  | 3.4 | MLv    | 4  | 1.59 N  | 120.89 E | 226 km | Minahassa Peninsula, Sulawesi       
 | 2018-04-23 04:05:16.6 | manual      | 28 | 5.6 | mb     | 21 | 0.46 N  | 125.70 E | 23 km  | Northern Molucca Sea                
 | 2018-04-23 03:20:29.7 | manual      | 5  | 4.2 | MLv    | 5  | 8.96 S  | 113.59 E | 0 km   | Java, Indonesia                     
 | 2018-04-23 02:58:40.2 | manual      | 29 | 5.3 | mb     | 25 | 3.58 S  | 140.06 E | 63 km  | Irian Jaya, Indonesia               
 | 2018-04-23 02:52:01.8 | manual      | 4  | 3.9 | MLv    | 4  | 0.76 N  | 122.90 E | 27 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-22 16:59:10.8 | manual      | 13 | 5.2 | mb     | 12 | 14.52 S | 173.71 W | 10 km  | Samoa Islands Region                
 | 2018-04-22 13:32:53.4 | manual      | 8  | 3.9 | MLv    | 8  | 1.06 N  | 122.84 E | 40 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-22 09:13:53.3 | manual      | 6  | 3.9 | MLv    | 6  | 1.40 N  | 125.85 E | 136 km | Northern Molucca Sea                
 | 2018-04-22 05:46:04.1 | manual      | 15 | 4.1 | MLv    | 15 | 0.62 S  | 125.92 E | 82 km  | Southern Molucca Sea                
 | 2018-04-22 02:55:22.6 | manual      | 15 | 4.7 | MLv    | 13 | 2.23 S  | 120.64 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-04-22 02:29:27.2 | manual      | 41 | 5.1 | mb     | 39 | 4.62 N  | 127.43 E | 116 km | Talaud Islands, Indonesia           
 | 2018-04-22 00:31:45.3 | manual      | 39 | 5.1 | mb     | 35 | 2.71 S  | 139.36 E | 12 km  | Near North Coast of Irian Jaya      
 | 2018-04-21 23:47:24.5 | manual      | 5  | 3.0 | MLv    | 5  | 0.17 N  | 121.94 E | 93 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-21 20:17:34.6 | manual      | 5  | 3.0 | MLv    | 5  | 1.00 S  | 118.94 E | 451 km | Sulawesi, Indonesia                 
 | 2018-04-21 18:01:53.2 | manual      | 7  | 3.9 | MLv    | 7  | 0.61 N  | 121.35 E | 28 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-21 14:03:51.2 | manual      | 4  | 2.8 | MLv    | 4  | 0.06 S  | 123.26 E | 183 km | Minahassa Peninsula, Sulawesi       
 | 2018-04-21 12:56:37.9 | manual      | 4  | 3.2 | MLv    | 4  | 1.46 N  | 121.07 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-21 06:23:55.1 | manual      | 7  | 3.5 | MLv    | 7  | 0.61 S  | 121.91 E | 38 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-21 05:06:46.8 | manual      | 49 | 5.2 | mb     | 41 | 7.50 S  | 126.76 E | 335 km | Banda Sea                           
 | 2018-04-21 00:21:09.9 | manual      | 6  | 4.3 | MLv    | 6  | 1.70 N  | 126.37 E | 38 km  | Northern Molucca Sea                
 | 2018-04-20 21:52:04.6 | manual      | 5  | 3.2 | MLv    | 4  | 0.66 N  | 119.96 E | 11 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-20 17:00:52.6 | manual      | 19 | 4.3 | MLv    | 19 | 0.11 S  | 124.36 E | 20 km  | Southern Molucca Sea                
 | 2018-04-20 11:14:34.5 | manual      | 7  | 2.8 | MLv    | 4  | 1.82 S  | 119.67 E | 15 km  | Sulawesi, Indonesia                 
 | 2018-04-20 05:22:14.5 | manual      | 6  | 3.1 | MLv    | 4  | 0.88 N  | 122.29 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-20 04:05:16.6 | manual      | 11 | 4.7 | MLv    | 10 | 5.76 N  | 127.18 E | 10 km  | Philippine Islands Region           
 | 2018-04-20 03:54:52.4 | manual      | 5  | 3.4 | MLv    | 4  | 0.25 S  | 125.61 E | 10 km  | Southern Molucca Sea                
 | 2018-04-19 15:02:11.6 | manual      | 6  | 3.5 | MLv    | 6  | 1.99 N  | 125.08 E | 19 km  | Northern Molucca Sea                
 | 2018-04-19 14:48:19.1 | manual      | 7  | 3.4 | MLv    | 7  | 1.97 N  | 120.73 E | 290 km | Minahassa Peninsula, Sulawesi       
 | 2018-04-19 14:06:09.6 | manual      | 4  | 3.8 | MLv    | 4  | 4.60 S  | 141.54 E | 59 km  | New Guinea, Papua New Guinea        
 | 2018-04-19 12:19:45.9 | manual      | 8  | 3.9 | MLv    | 8  | 0.13 S  | 124.86 E | 10 km  | Southern Molucca Sea                
 | 2018-04-19 03:50:01.7 | manual      | 10 | 4.1 | MLv    | 10 | 1.57 S  | 128.08 E | 61 km  | Halmahera, Indonesia                
 | 2018-04-18 19:53:45.9 | manual      | 5  | 3.4 | MLv    | 5  | 3.75 S  | 125.62 E | 34 km  | Ceram Sea                           
 | 2018-04-18 09:25:47.5 | manual      | 41 | 5.0 | Mw(mB) | 31 | 6.74 S  | 129.85 E | 176 km | Banda Sea                           
 | 2018-04-18 08:15:33.1 | manual      | 6  | 4.3 | MLv    | 5  | 9.36 S  | 124.28 E | 10 km  | Timor Region                        
 | 2018-04-18 07:06:58.9 | manual      | 44 | 5.4 | mb     | 36 | 3.50 S  | 131.40 E | 39 km  | Irian Jaya Region, Indonesia        
 | 2018-04-18 06:28:40.6 | manual      | 12 | 4.1 | MLv    | 9  | 7.04 S  | 110.30 E | 136 km | Java, Indonesia                     
 | 2018-04-18 05:32:00.7 | manual      | 52 | 5.3 | mb     | 51 | 11.82 N | 142.23 E | 43 km  | South of Mariana Islands            
 | 2018-04-18 05:19:14.1 | manual      | 12 | 4.7 | MLv    | 11 | 6.59 S  | 130.44 E | 23 km  | Banda Sea                           
 | 2018-04-18 04:58:25.3 | manual      | 20 | 4.5 | mb     | 14 | 3.86 S  | 133.02 E | 113 km | Irian Jaya Region, Indonesia        
 | 2018-04-18 02:55:45.4 | manual      | 5  | 5.5 | mb     | 5  | 15.07 S | 147.62 E | 10 km  | Coral Sea                           
 | 2018-04-17 09:21:26.8 | manual      | 13 | 4.8 | MLv    | 10 | 3.08 N  | 127.98 E | 10 km  | Talaud Islands, Indonesia           
 | 2018-04-17 09:01:10.8 | manual      | 4  | 2.9 | MLv    | 4  | 0.44 N  | 121.60 E | 153 km | Minahassa Peninsula, Sulawesi       
 | 2018-04-17 06:44:07.4 | manual      | 29 | 5.1 | mb     | 23 | 3.39 S  | 131.34 E | 43 km  | Irian Jaya Region, Indonesia        
 | 2018-04-17 04:56:02.1 | manual      | 36 | 5.2 | mb     | 33 | 3.37 S  | 131.34 E | 76 km  | Irian Jaya Region, Indonesia        
 | 2018-04-17 04:33:09.9 | manual      | 10 | 5.0 | mb     | 9  | 3.15 S  | 137.19 E | 10 km  | Irian Jaya, Indonesia               
 | 2018-04-17 04:04:56.7 | manual      | 10 | 4.1 | MLv    | 10 | 3.52 S  | 129.77 E | 341 km | Seram, Indonesia                    
 | 2018-04-17 03:37:07.1 | manual      | 11 | 3.8 | MLv    | 11 | 2.38 S  | 129.45 E | 572 km | Seram, Indonesia                    
 | 2018-04-17 02:52:38.8 | manual      | 48 | 5.6 | mb     | 40 | 3.45 S  | 131.34 E | 50 km  | Irian Jaya Region, Indonesia        
 | 2018-04-17 02:39:12.8 | manual      | 34 | 5.1 | mb     | 22 | 1.43 N  | 127.05 E | 51 km  | Halmahera, Indonesia                
 | 2018-04-16 15:37:51.8 | manual      | 9  | 3.6 | MLv    | 9  | 0.73 N  | 125.88 E | 5 km   | Northern Molucca Sea                
 | 2018-04-16 06:09:48.7 | manual      | 33 | 5.1 | mb     | 30 | 5.56 S  | 142.81 E | 79 km  | New Guinea, Papua New Guinea        
 | 2018-04-15 22:40:04.2 | manual      | 17 | 4.9 | mb     | 14 | 6.50 S  | 130.07 E | 148 km | Banda Sea                           
 | 2018-04-15 19:44:31.1 | manual      | 21 | 4.5 | MLv    | 19 | 3.70 S  | 124.82 E | 510 km | Ceram Sea                           
 | 2018-04-15 19:43:53.3 | manual      | 32 | 5.1 | mb     | 32 | 18.05 N | 123.09 E | 10 km  | Philippine Islands Region           
 | 2018-04-15 19:30:45.8 | manual      | 47 | 6.3 | Mw(mB) | 34 | 1.43 N  | 126.88 E | 53 km  | Northern Molucca Sea                
 | 2018-04-15 09:59:34.2 | manual      | 7  | 4.0 | MLv    | 6  | 2.92 S  | 124.44 E | 10 km  | Ceram Sea                           
 | 2018-04-15 02:37:59.9 | manual      | 30 | 4.9 | mb     | 24 | 7.28 S  | 124.79 E | 557 km | Banda Sea                           
 | 2018-04-15 00:11:32.7 | manual      | 11 | 4.8 | mb     | 11 | 21.38 N | 142.05 E | 328 km | Mariana Islands Region              
 | 2018-04-14 18:43:24.6 | manual      | 7  | 3.2 | MLv    | 7  | 2.15 S  | 120.10 E | 23 km  | Sulawesi, Indonesia                 
 | 2018-04-14 18:02:14.3 | manual      | 41 | 4.9 | Mw(mB) | 30 | 6.41 S  | 104.57 E | 10 km  | Sunda Strait, Indonesia             
 | 2018-04-14 16:54:37.1 | manual      | 7  | 3.5 | MLv    | 7  | 1.39 N  | 119.36 E | 10 km  | Celebes Sea                         
 | 2018-04-14 15:13:22.5 | manual      | 12 | 3.5 | MLv    | 12 | 2.17 S  | 121.13 E | 22 km  | Sulawesi, Indonesia                 
 | 2018-04-14 13:51:26.8 | manual      | 7  | 3.7 | MLv    | 7  | 3.93 S  | 129.17 E | 14 km  | Seram, Indonesia                    
 | 2018-04-14 09:52:19.5 | manual      | 13 | 4.0 | MLv    | 12 | 0.08 S  | 122.95 E | 137 km | Minahassa Peninsula, Sulawesi       
 | 2018-04-14 08:56:36.1 | manual      | 22 | 5.0 | mb     | 22 | 7.12 S  | 103.17 E | 47 km  | Southwest of Sumatra, Indonesia     
 | 2018-04-13 20:43:38.2 | manual      | 9  | 4.8 | MLv    | 8  | 11.63 S | 117.40 E | 10 km  | South of Sumbawa, Indonesia         
 | 2018-04-13 20:25:43.9 | manual      | 9  | 3.3 | MLv    | 6  | 0.15 S  | 123.28 E | 160 km | Minahassa Peninsula, Sulawesi       
 | 2018-04-13 16:22:32.4 | manual      | 9  | 4.6 | MLv    | 9  | 2.80 N  | 127.96 E | 67 km  | Northern Molucca Sea                
 | 2018-04-13 13:30:05.1 | manual      | 8  | 3.5 | MLv    | 8  | 0.45 N  | 124.25 E | 133 km | Minahassa Peninsula, Sulawesi       
 | 2018-04-13 09:27:20.8 | manual      | 5  | 4.8 | MLv    | 4  | 5.37 S  | 143.60 E | 52 km  | New Guinea, Papua New Guinea        
 | 2018-04-13 08:53:50.4 | manual      | 11 | 4.0 | MLv    | 10 | 7.70 S  | 122.13 E | 290 km | Flores Sea                          
 | 2018-04-13 07:22:10.4 | manual      | 40 | 5.1 | mb     | 31 | 8.77 S  | 118.45 E | 87 km  | Sumbawa Region, Indonesia           
 | 2018-04-13 03:57:45.7 | manual      | 42 | 5.0 | mb     | 38 | 6.12 S  | 142.26 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-04-13 00:19:09.3 | manual      | 17 | 4.3 | MLv    | 17 | 3.66 S  | 126.15 E | 28 km  | Buru, Indonesia                     
 | 2018-04-12 21:23:30.1 | manual      | 6  | 2.9 | MLv    | 5  | 0.50 S  | 121.64 E | 19 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-12 19:03:23.1 | manual      | 6  | 3.1 | MLv    | 6  | 1.12 S  | 123.70 E | 11 km  | Sulawesi, Indonesia                 
 | 2018-04-12 17:45:58.2 | manual      | 11 | 4.6 | MLv    | 11 | 3.22 N  | 128.05 E | 10 km  | North of Halmahera, Indonesia       
 | 2018-04-12 09:36:51.4 | manual      | 7  | 4.5 | MLv    | 7  | 7.34 S  | 130.31 E | 249 km | Tanimbar Islands Reg., Indonesia    
 | 2018-04-12 08:08:52.8 | manual      | 11 | 4.0 | MLv    | 7  | 3.86 S  | 128.89 E | 116 km | Seram, Indonesia                    
 | 2018-04-12 08:00:39.4 | manual      | 15 | 5.2 | mb     | 15 | 21.11 N | 129.88 E | 662 km | Philippine Sea                      
 | 2018-04-12 05:39:25.4 | manual      | 9  | 3.6 | MLv    | 9  | 0.14 N  | 119.84 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-12 03:32:54.6 | manual      | 9  | 4.4 | MLv    | 9  | 8.83 S  | 111.34 E | 58 km  | Java, Indonesia                     
 | 2018-04-12 03:17:25.6 | manual      | 12 | 4.6 | MLv    | 12 | 10.24 S | 119.46 E | 10 km  | Sumba Region, Indonesia             
 | 2018-04-12 01:50:51.4 | manual      | 33 | 5.1 | mb     | 29 | 10.33 S | 119.17 E | 47 km  | Sumba Region, Indonesia             
 | 2018-04-11 23:54:03.8 | manual      | 27 | 4.8 | mb     | 25 | 7.07 N  | 126.47 E | 124 km | Mindanao, Philippines               
 | 2018-04-11 23:30:32.9 | manual      | 13 | 4.5 | MLv    | 10 | 9.49 S  | 118.49 E | 10 km  | Sumbawa Region, Indonesia           
 | 2018-04-11 22:56:52.1 | manual      | 7  | 3.8 | MLv    | 7  | 9.30 S  | 120.43 E | 233 km | Sumba Region, Indonesia             
 | 2018-04-11 21:10:57.3 | manual      | 37 | 4.8 | mb     | 34 | 10.28 S | 119.45 E | 10 km  | Sumba Region, Indonesia             
 | 2018-04-11 20:57:52.2 | manual      | 38 | 4.9 | mb     | 35 | 10.31 S | 119.49 E | 19 km  | Sumba Region, Indonesia             
 | 2018-04-11 17:36:51.4 | manual      | 34 | 5.0 | mb     | 34 | 4.89 N  | 95.07 E  | 12 km  | Northern Sumatra, Indonesia         
 | 2018-04-11 09:18:30.6 | manual      | 6  | 3.8 | MLv    | 6  | 0.42 N  | 122.20 E | 116 km | Minahassa Peninsula, Sulawesi       
 | 2018-04-11 01:24:27.2 | manual      | 7  | 3.6 | MLv    | 7  | 3.05 S  | 129.94 E | 10 km  | Seram, Indonesia                    
 | 2018-04-10 13:30:54.5 | manual      | 5  | 2.9 | MLv    | 5  | 0.81 N  | 123.91 E | 328 km | Minahassa Peninsula, Sulawesi       
 | 2018-04-10 10:35:55.7 | automatic   | 10 | 5.8 | mb     | 10 | 12.57 S | 126.84 E | 10 km  | South of Timor, Indonesia           
